                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61975,                 4.2037,                 1.0255,                0.39492,                 0.3678,                0.26578,                0.23578,                0.44103,                 2.3293,                0.90998,             9.4748e-05,             9.4748e-05,             9.4748e-05
                      2,                0.52807,                 2.9123,                0.97227,                0.56025,                0.62934,                0.59928,                0.52087,                0.44639,                 1.4501,                0.94277,             0.00018787,             0.00018787,             0.00018787
                      3,                0.51338,                 2.2641,                0.95518,                 0.7312,                0.68904,                0.74439,                0.67298,                0.41802,                 1.1175,                 0.9226,              0.0002794,              0.0002794,              0.0002794
                      4,                0.50114,                 1.9284,                0.94358,                0.73003,                0.79161,                 0.8314,                0.76388,                0.37585,                0.95134,                0.87923,             0.00027751,             0.00027751,             0.00027751
                      5,                0.46487,                 1.6989,                0.92345,                 0.8189,                0.84819,                0.88709,                0.81422,                  0.368,                0.79497,                0.87969,               0.000275,               0.000275,               0.000275
                      6,                 0.4452,                  1.497,                 0.9199,                0.89229,                0.85989,                0.91096,                0.83714,                0.35109,                0.70019,                0.86763,             0.00027252,             0.00027252,             0.00027252
                      7,                0.43884,                 1.4093,                0.91591,                0.88371,                0.86378,                0.93957,                0.86988,                0.35829,                0.66054,                0.86557,             0.00027012,             0.00027012,             0.00027012
                      8,                0.43804,                 1.2715,                0.91592,                 0.8943,                0.87689,                0.96596,                0.88156,                0.37205,                0.60589,                0.86941,             0.00026765,             0.00026765,             0.00026765
                      9,                0.43327,                 1.1806,                0.90874,                0.83166,                0.92188,                0.93856,                0.87779,                0.35195,                0.64503,                0.86354,             0.00026503,             0.00026503,             0.00026503
                     10,                 0.4121,                 1.0825,                0.89661,                0.93231,                0.94371,                0.97552,                0.90977,                0.33181,                0.50487,                  0.851,             0.00026262,             0.00026262,             0.00026262
                     11,                0.40203,                 1.0379,                0.90197,                0.93078,                0.94928,                0.98431,                 0.9235,                0.32533,                0.46289,                0.84729,             0.00026002,             0.00026002,             0.00026002
                     12,                0.40164,                0.96967,                 0.8967,                0.93862,                 0.9558,                0.98763,                0.92558,                0.33107,                0.42683,                0.85081,             0.00025743,             0.00025743,             0.00025743
                     13,                0.38303,                0.92241,                0.89028,                  0.944,                0.96078,                0.98775,                 0.9324,                0.29846,                0.38607,                0.83665,             0.00025454,             0.00025454,             0.00025454
                     14,                0.38769,                0.89571,                0.89111,                0.92627,                0.91265,                0.95605,                0.90236,                0.31694,                0.40451,                0.83561,              0.0002516,              0.0002516,              0.0002516
                     15,                0.37919,                0.84565,                0.88463,                0.95378,                0.95195,                0.98452,                0.92298,                0.30503,                0.42761,                0.84397,             0.00024789,             0.00024789,             0.00024789
                     16,                0.37245,                0.80331,                0.88161,                0.96774,                0.95318,                0.99004,                0.93036,                0.32189,                0.36636,                0.85162,             0.00024516,             0.00024516,             0.00024516
