                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26457,                0.71354,                0.87425,                0.98128,                0.99297,                0.99424,                0.96862,                0.21701,                0.20916,                0.84811,             9.4748e-05,             9.4748e-05,             9.4748e-05
                      2,                 0.2719,                0.52044,                0.86981,                0.97059,                 0.9928,                0.99396,                0.96647,                0.23069,                0.23131,                0.85475,             0.00017664,             0.00017664,             0.00017664
                      3,                0.29104,                0.50443,                0.88488,                0.92563,                0.99427,                0.99207,                0.96111,                0.24486,                 0.2539,                0.86698,             0.00023404,             0.00023404,             0.00023404
                      4,                0.31138,                0.51668,                0.88834,                0.91015,                0.99301,                  0.993,                0.95301,                0.25118,                0.25461,                0.86195,             0.00021521,             0.00021521,             0.00021521
                      5,                0.30412,                0.48937,                0.89019,                0.94788,                0.98614,                0.97605,                0.94684,                0.23245,                0.21049,                0.86263,             0.00018304,             0.00018304,             0.00018304
                      6,                0.30481,                0.48121,                0.88942,                0.97969,                0.98836,                0.99393,                 0.9676,                0.23813,                0.20013,                0.85945,             0.00016802,             0.00016802,             0.00016802
                      7,                0.29882,                0.46738,                0.88515,                0.97782,                  0.987,                0.99309,                0.96676,                0.23223,                0.20341,                0.86265,             0.00014443,             0.00014443,             0.00014443
                      8,                 0.2886,                0.42789,                0.88864,                0.98242,                0.99177,                0.99387,                0.96878,                0.22165,                0.18302,                0.85594,             0.00012084,             0.00012084,             0.00012084
                      9,                0.28239,                0.39393,                0.87995,                0.98824,                0.99564,                0.99401,                0.96735,                0.20914,                0.15977,                0.84896,              9.724e-05,              9.724e-05,              9.724e-05
                     10,                0.26736,                0.36853,                0.87523,                0.97574,                0.99869,                0.99419,                0.95876,                0.20836,                0.15208,                0.85638,             7.3645e-05,             7.3645e-05,             7.3645e-05
